location	product_ean	code	store_name
America/Chicago	6308407882743	US	Hutchinson
Asia/Tokyo	4331962623546	JP	Kamakura
Europe/London	4460840744407	GB	Hartley
Asia/Shanghai	4075318009546	CN	Yingkou
America/New_York	5684895028148	US	Massapequa
America/New_York	7458477540216	US	Nutley
America/Havana	4943104395107	CU	Varadero
Asia/Dhaka	1115854138096	BD	Manikchari
America/Belem	4749878418888	BR	Soure
Asia/Manila	1026333555719	PH	San Jose
America/New_York	2095580665785	US	Waterbury
Asia/Dili	8071473388355	TL	Maliana
Europe/London	2152732113720	GB	Chapletown
Asia/Tokyo	6125177993109	JP	Yao
Europe/Berlin	4401861478124	DE	Losheim
America/New_York	9506602775038	US	Dublin
Asia/Tokyo	4891765041614	JP	Fujioka
Australia/Melbourne	3023094191505	AU	Wheelers Hill
Europe/London	2761208572246	GB	Viewpark
Asia/Manila	0049683515258	PH	Naga
America/Argentina/Cordoba	4119157973870	AR	Rafaela
Asia/Shanghai	9172768300843	CN	Foshan
America/New_York	8132131159097	US	Kensington
America/Bahia	2955835160116	BR	Rio Real
Europe/Bratislava	7418172281333	SK	Hlohovec
Europe/Moscow	5748780296873	RU	Shushary
Europe/Berlin	9305230646181	DE	Burscheid
Asia/Kolkata	2867482590102	IN	Calangute
America/New_York	8504099090451	US	Malden
Europe/Paris	3735082300492	FR	Pamiers
America/Los_Angeles	2852522869966	US	Kent
Europe/Samara	3015216867177	RU	Otradnyy
America/New_York	4472092439642	US	Venice
America/New_York	4847617899889	US	Bridgeport
Europe/Paris	9283958143406	FR	Valence
Europe/Berlin	5551761019411	DE	Memmingen
America/New_York	8571102649838	US	West Chester
Africa/Lubumbashi	1354698578679	CD	Kamina
Africa/Banjul	2483305074668	GM	Farafenni
Asia/Shanghai	0083380246954	CN	Hushitai
America/New_York	8441191968168	US	Cypress Hills
Europe/Sofia	6298520713348	BG	Montana
America/Porto_Velho	2415929623441	BR	Porto Velho
America/Sao_Paulo	4769632838790	BR	Esmeraldas
Asia/Manila	7660464796227	PH	Recodo
Europe/Madrid	5124515096657	ES	Las Gabias
Europe/Brussels	9609807229037	BE	Mouscron
Africa/Maputo	6193681688736	MZ	Maxixe
America/Los_Angeles	7455389012701	US	Redding
America/Chicago	6017710489647	US	Searcy
Asia/Yangon	7494254246940	MM	Dawei
Pacific/Port_Moresby	3633652194710	PG	Mount Hagen
Asia/Novokuznetsk	1668799032863	RU	Yashkino
Asia/Kolkata	1981425168614	IN	Aklera
Africa/Mogadishu	0993456052399	SO	Kismayo
Asia/Kolkata	7411445403524	IN	Kundla
Europe/Madrid	6172022503815	ES	Las Gabias
Europe/Moscow	0684408783767	RU	Tver
America/New_York	0001204948020	US	Fayetteville
America/Sao_Paulo	5599318016735	BR	Loanda
Asia/Tokyo	4408227379675	JP	Fujioka
Africa/Dar_es_Salaam	0884383954651	TZ	Nyangao
Europe/Moscow	1164034720231	RU	Kashira
Asia/Yangon	2789479222295	MM	Kyaikto
Asia/Shanghai	2535784264815	CN	Licheng
Europe/Paris	0934059200367	FR	Valence
Africa/Dar_es_Salaam	5493726923480	TZ	Mwandiga
Asia/Shanghai	5931815538738	CN	Xinzhou
Asia/Shanghai	6918505402899	CN	Meizhou
Asia/Yekaterinburg	3380882130154	RU	Kuvandyk
Europe/Moscow	6822960848218	RU	Kolomyagi
Asia/Tokyo	4947241571103	JP	Nonoichi
Africa/Libreville	7711510216487	GA	Franceville
Europe/Warsaw	9120891138048	PL	Zgorzelec
America/Argentina/Buenos_Aires	0688299419569	AR	Pontevedra
America/Sao_Paulo	3276512580386	BR	Artur Nogueira
Europe/Paris	5934612087584	FR	Sceaux
Europe/Kiev	1671795801975	UA	Zvenihorodka
Europe/Berlin	5065570299877	DE	Bensheim
Africa/Accra	5531379751811	GH	Tarkwa
Europe/Berlin	9977586126084	DE	Siegburg
Asia/Kolkata	4418062672510	IN	Kheda
Africa/Dar_es_Salaam	4641016895806	TZ	Magomeni
Europe/Moscow	2810367937646	RU	Stupino
Africa/Mogadishu	3820806503706	SO	Kismayo
America/Sao_Paulo	6913205904704	BR	Artur Nogueira
Africa/Dar_es_Salaam	9664047116189	TZ	Chanika
Europe/London	5669056280184	GB	Devizes
Asia/Shanghai	2341343668891	CN	Foshan
America/Chicago	5701147485020	US	Palestine
Europe/Berlin	8427160002439	DE	Korschenbroich
America/New_York	7377993396346	US	Fayetteville
Asia/Tokyo	4102229826150	JP	Karatsu
Asia/Kolkata	6272454099204	IN	Supaul
Europe/Berlin	7594604369746	DE	Burscheid
Europe/Berlin	8074675179158	DE	Hechingen
Europe/Istanbul	9459623408907	TR	Mardin
Europe/Andorra	5094331023956	AD	les Escaldes
Australia/Sydney	3585230785844	AU	Eastwood
Europe/Berlin	3690630219070	DE	Schleswig
America/New_York	1608453976522	US	Fitchburg
Asia/Kolkata	1733858116409	IN	Pune
America/Chicago	9652128469378	US	South Lawndale
Asia/Kuala_Lumpur	2468605750962	MY	Teluk Intan
Europe/Minsk	6634800158018	BY	Dobrush
Europe/Madrid	4778160921584	ES	Puertollano
Asia/Tokyo	7960544300338	JP	Motomachi
Africa/Tunis	0733949809945	TN	El Alia
Asia/Novokuznetsk	7196709417072	RU	Yashkino
America/Bahia	3811478479451	BR	Muritiba
America/New_York	5956119067968	US	Mechanicsville
Europe/Berlin	0749002619796	DE	Hermsdorf
Europe/Rome	1430086238490	IT	Roseto degli Abruzzi
Europe/Rome	2829761338379	IT	Falconara Marittima
America/Mexico_City	2898932422698	MX	Tuxtla
Europe/Vienna	0206342494679	AT	Sankt Peter
America/Chicago	1337664780689	US	Vestavia Hills
Asia/Kolkata	5500003120422	IN	Dalsingh Sarai
Asia/Kolkata	5511617054614	IN	Periyakulam
Asia/Yekaterinburg	2001816296302	RU	Kuvandyk
America/Chicago	5908004031646	US	Ada
Asia/Tokyo	9934278714981	JP	Yao
America/Guayaquil	9598449196381	EC	Milagro
America/Bogota	3395131184710	CO	Buenaventura
Asia/Yangon	6136612137347	MM	Dawei
Asia/Karachi	2508390641219	PK	Fazilpur
Europe/Rome	7639221145141	IT	Lanciano
Europe/Berlin	8005672820026	DE	Losheim
Europe/London	1120327817477	GB	Belper
America/Chicago	4283901590832	US	Schererville
